rxn num
25
26
28
67
76
80
94
101
104
127
138
160
165
175
178
186
189
191
209
256
263
265
271
287
292
312
332
335
341
363
365
402
404
407
412
416
462
474
482
483
490
501
502
503
504
510
555
571
572
617
662
663
675
708
721
788
790
813
839
845
847
868
877
900
921
936
950
952
992
1009
1012
1030
1034
1057
1063
1143
1152
1164
1171
1187
1197
1226
1227
1257
1266
1280
1339
1365
1397
1483
1487
1499
1504
1516
1523
1542
1550
1570
1599
1604
1609
1615
1616
1658
1661
1672
1742
1768
1794
1803
1814
1820
1842
1855
1876
1904
1935
1943
1947
1977
1994
2003
2026
2048
2063
2075
2081
2098
2120
2130
2141
2150
2171
2178
2217
2222
2227
2228
2231
2238
2249
2250
2255
2264
2265
2304
2310
2356
2376
2388
2438
2459
2465
2491
2508
2530
2560
2561
2562
2585
2640
2666
2675
2743
2831
2838
2858
2862
2880
2901
2915
2934
2940
2963
3069
3074
3075
3107
3134
3160
3162
3163
3166
3170
3194
3200
3207
3208
3216
3224
3273
3289
3291
3333
3350
3359
3372
3376
3399
3454
3455
3516
3538
3541
3584
3585
3590
3591
3592
3612
3636
3640
3671
3754
3770
3795
3801
3806
3809
3824
3930
3964
3965
3973
3991
3994
4018
4044
4048
4052
4062
4071
