,dGr_prime,SD of dGr_prime
r_0091,-22.43596293212247,1.6525121529447724
r_0092,-25.130296410827214,15.729422683954981
r_0093,-1.9835047928927452,16.00471950161505
r_0094,-2.7395618084065063,14.209130463401388
r_0095,-16.278894700767243,3.1574429716307257
r_0096,-14.135503653806836,14.137154393732853
r_0097,-17.960123780980837,4.747846114532194
r_0099,-2.004450153079688,35.87146812828469
r_0100,-26.497256382834337,19.4359538246937
r_0101,-26.497258290183424,19.971941962639775
r_0102,-26.4970732773661,19.354538438635853
r_0103,27.214213097095126,23.379511370602465
r_0104,26.759374875860658,23.379512039304633
r_0105,-26.49725638283428,19.294790907171393
r_0106,-26.4973174179911,19.24105963063183
r_0107,-26.49719534767837,19.2569225977136
r_0108,-14.400965263266926,13.662599110861821
r_0109,0.1422690038239125,13.662599264437038
r_0111,-44.895555090757966,13.427578047751448
r_0112,-5.813670329260731,13.533387236425387
r_0113,-5.87315342385682,13.5333923969309
r_0114,-5.813548258948231,13.533385912680806
r_0115,15.514071963685637,3.3128401833755285
r_0116,-11.090927124023438,28.297978130933018
r_0117,-0.6746473807223765,2.944124311279748
r_0118,-2.570485115233808,3.8811617771024127
r_0119,-61.873746651991496,13.097166524324123
r_0120,-84.36712421694278,14.178099756296003
r_0121,-84.36712421694278,14.221121625191717
r_0122,-84.36712421694273,15.315691400336362
r_0123,-84.36712421694273,14.395566966677277
r_0124,-84.3670936993646,14.525907977883486
r_0125,-84.36706318178653,14.293774935980139
r_0126,-3.4639407135932743,46.22087097530002
r_0127,-4.6714602448410005,45.694431743596525
r_0128,-3.4636965729682743,45.61812245559811
r_0129,-4.546460244849186,55.40775288584946
r_0130,-3.4638186432803195,43.993026567661595
r_0131,-3.4636050202334445,46.090401270459864
r_0132,-4.6716128327316255,45.56647357890268
r_0133,-3.4638491608584445,45.49212899547563
r_0134,-4.546612832740266,55.30785790512313
r_0135,-3.4636050202334445,43.87501919546342
r_0137,,
r_0138,-45.02088282069428,57.00860355936473
r_0139,-18.935988867014203,2.0845885875796233
r_0140,-45.0163549189258,57.003554526087406
r_0142,-15.247364612783691,2.210225330868614
r_0143,-45.01879356033339,57.00543942751343
r_0144,35.42989760009172,4.713308056782163
r_0145,-20.879009235901094,42.633597791845226
r_0146,15.185397388695492,42.65332534205804
r_0147,1.9452835792967562,2.806711025354083
r_0148,-1.373981026330057,2.7424519082001413
r_0149,-0.5748298871321822,2.7424495852385196
r_0150,-0.574749245132125,12.960046840419562
r_0151,25.090027317198405,16.93191786014175
r_0152,10.982498229902149,2.1324854806864373
r_0153,-1.7590234730287193,13.07125109709296
r_0154,-2.4968414242009445,3.3208034239939526
r_0155,-37.34375550306229,4.1888875797318414
r_0156,-15.454309802995226,2.0595841875352767
r_0157,,
r_0158,-10.935101602224677,13.823503078742053
r_0159,-9.63656339376603,13.610060808891827
r_0160,-10.691968057249142,13.801695501059218
r_0161,-11.043805215482905,13.959121198955208
r_0162,-9.446698280031057,14.148068382918552
r_0163,18.756296697571088,12.16570671386854
r_0164,-25.5791137089559,12.94315355280715
r_0165,-11.278900956043344,12.165710709225733
r_0166,-19.084482731491562,12.569940662255012
r_0167,-11.607086986631202,12.5699445011764
r_0168,-19.084501805506306,13.397848173711976
r_0169,-16.343576811416142,12.884227421139377
r_0170,-8.866180639487311,12.884231161299683
r_0171,-16.343595885430886,13.693145864733394
r_0172,-40.62091782536618,12.584335922460454
r_0173,-46.26889888261803,12.990128540727692
r_0174,-68.69876827961423,12.134438981209824
r_0175,-68.69886245627958,12.99012553728157
r_0176,-64.53155344538402,13.040629514743234
r_0177,-42.10414236149768,13.840406072308621
r_0178,-64.53164762204938,13.840403542759242
r_0179,-16.330698552840204,12.40479308027196
